"timestamp","host","content_type","http_authorization","http_user_agent","remote_addr","request","request_body","request_method","request_time","response_status","message"
"2021-04-28T22:34:51.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /css/bookstore.css HTTP/1.1",,"GET","0.001","200","GET /css/bookstore.css HTTP/1.1"
"2021-04-28T22:34:51.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/lib/angular-1.3.0-rc.3/angular-resource.min.js HTTP/1.1",,"GET","0.001","200","GET /js/lib/angular-1.3.0-rc.3/angular-resource.min.js HTTP/1.1"
"2021-04-28T22:34:54.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1",,"GET","0.001","200","GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1"
"2021-04-28T22:34:33.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books/2 HTTP/1.1",,"GET","0.001","200","GET /rest/books/2 HTTP/1.1"
"2021-04-28T22:34:09.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.002","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:34:15.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.001","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:34:49.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.001","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:35:30.975Z","3.208.148.212","application/json;charset=UTF-8",,"Go-http-client/1.1","1.55.250.226","POST /rest/orders HTTP/1.1","{""orderLines"":[{""book"":{""id"":17,""version"":1,""isbn"":""0984723425"",""name"":""add"",""description"":""abc"",""pictureURL"":null,""price"":null,""vat"":null,""author"":""ass""},""quantity"":1}],""totalOrder"":0}","POST","0.003","201","POST /rest/orders HTTP/1.1"
"2021-04-28T22:35:18.975Z","3.208.148.212","application/json;charset=UTF-8",,"Go-http-client/1.1","1.55.250.226","PUT /rest/books/17 HTTP/1.1","{""id"":17,""version"":0,""isbn"":""0984723425"",""name"":""add"",""description"":""abc"",""pictureURL"":null,""price"":null,""vat"":null,""author"":""ass""}","PUT","0.005","500","PUT /rest/books/17 HTTP/1.1"
"2021-04-28T22:34:31.975Z","3.208.148.212","application/json;charset=UTF-8",,"Go-http-client/1.1","1.55.250.226","PUT /rest/books/2 HTTP/1.1","{""id"":2,""version"":7,""isbn"":""9123238861"",""name"":""Python Crash Course"",""description"":""Python Crash Course is the world's best-selling guide to the Python programming language. This fast-paced, thorough introduction to programming with Python will have you writing programs, solving problems, and making things that work in no time."",""pictureURL"":""https://images-na.ssl-images-amazon.com/images/I/51Z6Vf5UwTL._SX376_BO1,204,203,200_.jpg"",""price"":""24.51"",""vat"":null,""author"":""Eric Matthes""}","PUT","0.005","500","PUT /rest/books/2 HTTP/1.1"
"2021-04-28T22:35:48.975Z","3.208.148.212","application/json;charset=UTF-8",,"Go-http-client/1.1","1.55.250.226","PUT /rest/books/17 HTTP/1.1","{""id"":17,""version"":1,""isbn"":""0984723425"",""name"":""add"",""description"":""abc"",""pictureURL"":null,""price"":null,""vat"":null,""author"":""ass""}","PUT","0.004","500","PUT /rest/books/17 HTTP/1.1"
"2021-04-28T22:34:53.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/controller/HomeController.js HTTP/1.1",,"GET","0.001","200","GET /js/controller/HomeController.js HTTP/1.1"
"2021-04-28T22:34:53.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /views/books.html HTTP/1.1",,"GET","0.001","200","GET /views/books.html HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /views/books.html HTTP/1.1",,"GET","0.001","200","GET /views/books.html HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/controller/HomeController.js HTTP/1.1",,"GET","0.001","200","GET /js/controller/HomeController.js HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /views/books.html HTTP/1.1",,"GET","0.001","200","GET /views/books.html HTTP/1.1"
"2021-04-28T22:35:53.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/lib/angular-1.3.0-rc.3/angular-route.min.js.map HTTP/1.1",,"GET","0.001","200","GET /js/lib/angular-1.3.0-rc.3/angular-route.min.js.map HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /views/books.html HTTP/1.1",,"GET","0.001","200","GET /views/books.html HTTP/1.1"
"2021-04-28T22:36:34.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books/3 HTTP/1.1",,"GET","0.002","200","GET /rest/books/3 HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /views/books.html HTTP/1.1",,"GET","0.001","200","GET /views/books.html HTTP/1.1"
"2021-04-28T22:35:35.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.002","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/controller/HomeController.js HTTP/1.1",,"GET","0.0","200","GET /js/controller/HomeController.js HTTP/1.1"
"2021-04-28T22:36:20.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.001","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /views/books.html HTTP/1.1",,"GET","0.0","200","GET /views/books.html HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.001","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /views/books.html HTTP/1.1",,"GET","0.001","200","GET /views/books.html HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/controller/HomeController.js HTTP/1.1",,"GET","0.0","200","GET /js/controller/HomeController.js HTTP/1.1"
"2021-04-28T22:34:53.976Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.002","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:34:56.975Z","3.208.148.212","application/json;charset=UTF-8",,"Go-http-client/1.1","1.55.250.226","POST /rest/books/ HTTP/1.1","{""name"":""a"",""author"":""a"",""description"":""a""}","POST","0.002","201","POST /rest/books/ HTTP/1.1"
"2021-04-28T22:34:51.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/bootstrap.min.js HTTP/1.1",,"GET","0.001","200","GET /js/bootstrap.min.js HTTP/1.1"
"2021-04-28T22:34:51.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/lib/angular-1.3.0-rc.3/angular-route.min.js HTTP/1.1",,"GET","0.001","200","GET /js/lib/angular-1.3.0-rc.3/angular-route.min.js HTTP/1.1"
"2021-04-28T22:34:46.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/orders/16 HTTP/1.1",,"GET","0.002","200","GET /rest/orders/16 HTTP/1.1"
"2021-04-28T22:34:46.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/orders HTTP/1.1",,"GET","0.003","200","GET /rest/orders HTTP/1.1"
"2021-04-28T22:34:54.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/lib/angular-1.3.0-rc.3/angular.min.js HTTP/1.1",,"GET","0.257","200","GET /js/lib/angular-1.3.0-rc.3/angular.min.js HTTP/1.1"
"2021-04-28T22:34:44.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/orders HTTP/1.1",,"GET","0.002","200","GET /rest/orders HTTP/1.1"
"2021-04-28T22:35:55.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/lib/angular-1.3.0-rc.3/angular-resource.min.js.map HTTP/1.1",,"GET","0.002","200","GET /js/lib/angular-1.3.0-rc.3/angular-resource.min.js.map HTTP/1.1"
